LOG FOR MACHINE 2 WITH CLOCK SPEED 1
1 - 1678205100.6948202: Sent one message to machine 2.
2 - 1678205101.6993542: Internal event.
3 - 1678205102.704504: Internal event.
16 - 1678205103.706961: Received message: 15. Queue length: 2.
17 - 1678205104.7103: Received message: 16. Queue length: 4.
20 - 1678205105.715433: Received message: 19. Queue length: 5.
21 - 1678205106.7175198: Received message: 20. Queue length: 6.
22 - 1678205107.7226582: Received message: 19. Queue length: 8.
23 - 1678205108.7262778: Received message: 22. Queue length: 8.
29 - 1678205109.73072: Received message: 28. Queue length: 11.
32 - 1678205110.731544: Received message: 31. Queue length: 11.
36 - 1678205111.732342: Received message: 35. Queue length: 12.
38 - 1678205112.734398: Received message: 37. Queue length: 11.
40 - 1678205113.7402198: Received message: 39. Queue length: 13.
41 - 1678205114.744734: Received message: 39. Queue length: 13.
42 - 1678205115.745934: Received message: 41. Queue length: 14.
44 - 1678205116.74696: Received message: 43. Queue length: 15.
50 - 1678205117.751921: Received message: 49. Queue length: 18.
52 - 1678205118.7559838: Received message: 51. Queue length: 17.
54 - 1678205119.7570162: Received message: 53. Queue length: 17.
55 - 1678205120.760576: Received message: 54. Queue length: 17.
56 - 1678205121.765676: Received message: 55. Queue length: 18.
57 - 1678205122.766838: Received message: 56. Queue length: 19.
58 - 1678205123.771895: Received message: 57. Queue length: 19.
75 - 1678205124.7769668: Received message: 74. Queue length: 20.
77 - 1678205125.778861: Received message: 76. Queue length: 21.
79 - 1678205126.783953: Received message: 78. Queue length: 21.
82 - 1678205127.789031: Received message: 81. Queue length: 21.
86 - 1678205128.790385: Received message: 85. Queue length: 21.
87 - 1678205129.795488: Received message: 83. Queue length: 21.
88 - 1678205130.80057: Received message: 84. Queue length: 23.
89 - 1678205131.802272: Received message: 85. Queue length: 23.
90 - 1678205132.805666: Received message: 87. Queue length: 22.
98 - 1678205133.810668: Received message: 97. Queue length: 22.
101 - 1678205134.812781: Received message: 100. Queue length: 22.
103 - 1678205135.81409: Received message: 102. Queue length: 22.
114 - 1678205136.819183: Received message: 113. Queue length: 21.
115 - 1678205137.824113: Received message: 114. Queue length: 22.
120 - 1678205138.824319: Received message: 119. Queue length: 23.
122 - 1678205139.8291478: Received message: 121. Queue length: 23.
125 - 1678205140.8324149: Received message: 124. Queue length: 22.
131 - 1678205141.837412: Received message: 130. Queue length: 22.
132 - 1678205142.841644: Received message: 128. Queue length: 22.
138 - 1678205143.843199: Received message: 137. Queue length: 21.
142 - 1678205144.843416: Received message: 141. Queue length: 22.
145 - 1678205145.843843: Received message: 144. Queue length: 21.
149 - 1678205146.844743: Received message: 148. Queue length: 21.
153 - 1678205147.849889: Received message: 152. Queue length: 24.
155 - 1678205148.855: Received message: 154. Queue length: 24.
162 - 1678205149.8573499: Received message: 161. Queue length: 24.
171 - 1678205150.8609998: Received message: 170. Queue length: 26.
174 - 1678205151.861515: Received message: 173. Queue length: 27.
176 - 1678205152.86569: Received message: 175. Queue length: 27.
178 - 1678205153.869376: Received message: 177. Queue length: 28.
184 - 1678205154.8710458: Received message: 183. Queue length: 29.
191 - 1678205155.872035: Received message: 190. Queue length: 29.
199 - 1678205156.877186: Received message: 198. Queue length: 29.
206 - 1678205157.8779788: Received message: 205. Queue length: 30.
216 - 1678205158.8830779: Received message: 215. Queue length: 30.
220 - 1678205159.885349: Received message: 219. Queue length: 29.
223 - 1678205160.890421: Received message: 222. Queue length: 29.
224 - 1678205161.8913438: Received message: 223. Queue length: 30.
226 - 1678205162.896223: Received message: 225. Queue length: 29.
239 - 1678205163.900516: Received message: 238. Queue length: 29.
246 - 1678205164.904435: Received message: 245. Queue length: 28.
258 - 1678205165.907114: Received message: 257. Queue length: 28.
259 - 1678205166.912211: Received message: 258. Queue length: 29.
269 - 1678205167.912721: Received message: 268. Queue length: 31.
274 - 1678205168.917807: Received message: 273. Queue length: 33.
276 - 1678205169.918727: Received message: 275. Queue length: 32.
277 - 1678205170.922663: Received message: 276. Queue length: 32.
279 - 1678205171.927681: Received message: 278. Queue length: 35.
281 - 1678205172.9327528: Received message: 280. Queue length: 36.
285 - 1678205173.9394271: Received message: 284. Queue length: 37.
288 - 1678205174.941416: Received message: 287. Queue length: 38.
294 - 1678205175.9464881: Received message: 293. Queue length: 39.
295 - 1678205176.951572: Received message: 294. Queue length: 39.
